X,Y,Price,Square_Feet,Address,Date_Sold
-112.738602,34.229725,"$268,000","952","16066 W Young Ln, Yarnell, AZ 85362",9/15/2022
-112.309772,34.587939,"$269,000","963","3101 N Truwood Dr, Prescott Valley, AZ 86314",10/6/2022
-112.383768,34.560023,"$270,000","837","4685 E Gloria Dr, Prescott, AZ 86301",10/31/2022
-111.982268,34.702528,"$270,000","1,296","4096 E Del Rio Dr, Cottonwood, AZ 86326",9/7/2022
-112.483045,34.733194,"$270,000","1,232","899 S Reed Rd, Chino Valley, AZ 86323",9/15/2022
-112.494698,34.471946,"$271,500","780","1679 W Linger Ln, Prescott, AZ 86303",1/4/2023
-111.786223,34.517988,"$272,500","1,496","3875 E Clinton Ln, Camp Verde, AZ 86322",1/27/2023
-112.033036,34.715646,"$273,500","1,540","1319 S Saddleback Dr, Cottonwood, AZ 86326",9/9/2022
-112.341018,34.600777,"$275,000","1,630","7060 E Long Look Dr, Prescott Valley, AZ 86314",10/12/2022
-112.471569,34.566166,"$275,000","1,600","1246 Mosher Ln, Prescott, AZ 86301",12/30/2022
-112.875463,34.154983,"$275,000","1,236","23985 W Coleman Dr, Congress, AZ 85332",9/16/2022
-112.476386,34.780953,"$275,000","1,504","2425 Maricopa St, Chino Valley, AZ 86323",10/12/2022
-112.460504,34.773458,"$275,000","884","3590 Chaparral Ln, Chino Valley, AZ 86323",11/21/2022
-112.033501,34.716749,"$275,000","1,256","1246 S Pioneer Dr, Cottonwood, AZ 86326",12/19/2022
-111.780121,34.632946,"$275,000","1,176","4054 E Lake Shore Dr, Rimrock, AZ 86335",10/3/2022
-112.511135,34.774934,"$275,000","884","3590 W Chaparral Rd, Chino Valley, AZ 86323",11/21/2022
-111.862471,34.562276,"$279,000","1,300","493 S Azure Dr, Camp Verde, AZ 86322",11/3/2022
-112.445374,34.534924,"$280,000","1,104","702 E Robinson Dr, Prescott, AZ 86303",1/9/2023
-112.023162,34.719817,"$280,000","1,300","1052 S 6th St, Cottonwood, AZ 86326",11/8/2022
-111.805926,34.871531,"$280,000","1,344","600 Andante Dr, Sedona, AZ 86336",10/18/2022
-112.589764,34.435318,"$280,800","1,584","7260 W Parnell Dr, Kirkland, AZ 86332",12/28/2022
-112.308932,34.59646,"$285,000","1,040","3696 N Zircon Dr, Prescott Valley, AZ 86314",10/6/2022
-112.011541,34.720106,"$285,000","1,288","1044 S 14th St, Cottonwood, AZ 86326",11/1/2022
-112.156132,34.066495,"$285,000","1,234","18759 E Valley Cir, Black Canyon City, AZ 85324",12/9/2022
-112.314055,34.593711,"$287,500","1,008","3511 N Dale Dr, Prescott Valley, AZ 86314",1/11/2023
-112.49578,34.473966,"$287,817","2,691","4538 S Deer Trl, Prescott, AZ 86303",8/18/2022
-112.107695,34.297216,"$289,000","1,675","20232 E Kino Rd, Mayer, AZ 86333",12/1/2022
-113.053114,35.252384,"$289,000","911","48600 N High Sierra Rd, Seligman, AZ 86337",8/25/2022
-112.319875,34.591913,"$289,900","965","8342 E Yavapai Rd, Prescott Valley, AZ 86314",11/30/2022
-112.355041,34.591608,"$290,000","1,248","3330 N Treasure Dr, Prescott Valley, AZ 86314",12/22/2022
-112.35678,34.594698,"$290,000","903","6202 Tournament Trl, Prescott Valley, AZ 86314",10/27/2022
-112.31827,34.592307,"$290,000","2,136","3461 N Etheridge Dr, Prescott Valley, AZ 86314",12/20/2022
-112.475315,34.56878,"$290,000","1,734","617 Morrell Blvd, Prescott, AZ 86301",1/11/2023
-112.128374,34.075293,"$290,000","1,322","20321 E Chrysocolla Rd, Black Canyon City, AZ 85324",8/31/2022
-112.239231,34.399212,"$292,000","1,363","12721 E Main St, Mayer, AZ 86333",9/20/2022
-112.006692,34.719672,"$292,000","1,327","1117 S 18th St, Cottonwood, AZ 86326",1/16/2023
-111.794374,34.627483,"$292,000","1,080","3279 E Montezuma Ave, Rimrock, AZ 86335",12/14/2022
-111.783661,34.518384,"$293,000","1,232","4020 E Creek View Dr, Camp Verde, AZ 86322",10/13/2022
-112.354359,34.587802,"$295,000","1,104","3050 N Date Creek Dr, Prescott Valley, AZ 86314",1/4/2023
-112.024,34.722862,"$295,000","1,568","902 S 5th St, Cottonwood, AZ 86326",12/9/2022
-111.977005,34.700933,"$295,000","1,352","2132 S Eastern Dr, Cottonwood, AZ 86326",9/1/2022
-111.977144,34.703948,"$295,000","1,064","4577 E Silver Leaf Trl, Cottonwood, AZ 86326",2/2/2023
-112.751305,34.221162,"$295,000","1,024","16902 W West Way, Yarnell, AZ 85362",10/14/2022
-111.766753,34.631573,"$298,000","1,380","4815 E Geronimo Rd, Rimrock, AZ 86335",10/19/2022
-112.329469,34.603406,"$298,500","1,464","7691 E Las Flores Ave, Prescott Valley, AZ 86314",11/22/2022
-112.321713,34.60287,"$299,000","1,160","8196 E Karen Cir, Prescott Valley, AZ 86314",12/22/2022
-111.849363,34.563993,"$299,000","1,369","271 E Hollamon St, Camp Verde, AZ 86322",8/26/2022
-112.011518,34.723582,"$299,000","932","873 S Crestview Ct, Cottonwood, AZ 86326",11/14/2022
-111.770386,34.651025,"$299,000","1,102","5600 N Towers Dr, Rimrock, AZ 86335",9/9/2022
-111.767498,34.652265,"$299,000","1,102","5665 N Bentley Dr, Rimrock, AZ 86335",12/28/2022
-111.774948,34.654466,"$299,000","1,102","5350 N Kramer Dr, Rimrock, AZ 86335",10/18/2022
-112.152854,34.343666,"$299,500","1,792","17661 E Bluejay Dr, Mayer, AZ 86333",1/19/2023
-112.358481,34.589987,"$299,900","928","6151 E Sunset Ln, Prescott Valley, AZ 86314",9/12/2022
-112.750756,34.280992,"$299,900","1,865","18411 S Niblick Dr, Peeples Valley, AZ 86332",12/30/2022
-111.790554,34.628732,"$299,900","1,424","3477 E Sycamore Ln, Rimrock, AZ 86335",11/29/2022
-112.013427,34.715333,"$299,900","1,144","1330 S Wild Burro Dr, Cottonwood, AZ 86326",11/18/2022
-112.313682,34.591441,"$299,900","1,008","8644 E Yavapai Rd, Prescott Valley, AZ 86314",12/5/2022
-112.018412,34.736209,"$299,900","1,017","181 S 8th Pl, Cottonwood, AZ 86326",2/13/2023
-112.35572,34.594346,"$300,000","913","6263 Tournament Trl, Prescott Valley, AZ 86314",11/3/2022
-112.502681,34.549437,"$300,000","1,304","1822 Idylwild Rd, Prescott, AZ 86305",10/11/2022
-112.474466,34.571878,"$300,000","984","614 W Delano Ave, Prescott, AZ 86301",10/24/2022
-112.34911,34.207913,"$300,000","1,062","6627 E Mountain View Rd, Crown King, AZ 86343",8/17/2022
-112.48355,34.922858,"$300,000","1,112","750 W Iris Rd, Paulden, AZ 86334",11/15/2022
-112.600392,34.76308,"$300,000","960","7310 W Hootennanny Rd, Prescott, AZ 86305",12/13/2022
-111.864847,34.560883,"$300,000","1,313","594 S Highline Ln, Camp Verde, AZ 86322",8/31/2022
-111.79442,34.644393,"$300,000","2,364","5130 N Stevenson Dr, Rimrock, AZ 86335",10/24/2022
-112.015525,34.737676,"$300,000","1,025","1034 E Ash St, Cottonwood, AZ 86326",1/9/2023
-112.034051,34.718636,"$300,000","1,424","1136 S Tonapah Dr, Cottonwood, AZ 86326",11/7/2022
-112.415142,34.430123,"$300,000","636","2910 E Shelf Rd, Prescott, AZ 86303",9/28/2022
-112.114311,34.317777,"$300,000","1,829","19899 E Stagecoach Trl, Mayer, AZ 86333",10/31/2022
-111.868899,34.559135,"$300,000","1,116","836 W Azure Dr, Camp Verde, AZ 86322",2/7/2023
-112.440206,34.757063,"$300,000","1,195","1415 Tumbleweed Dr, Chino Valley, AZ 86323",12/23/2022
-112.600392,34.76308,"$300,000","1,240","7310 W Hootenanny Rd, Prescott, AZ 86305",12/13/2022
-112.492963,34.7341,"$303,255","1,026","765 S Equestrian Trl, Chino Valley, AZ 86323",10/24/2022
-112.378583,34.568959,"$305,000","945","1966 N Lapis Dr, Prescott, AZ 86301",1/10/2023
-112.308833,34.58583,"$305,000","1,512","2995 Ned Ct, Prescott Valley, AZ 86314",12/12/2022
-112.475408,34.557099,"$305,000","1,269","902 Audrey Ln, Prescott, AZ 86301",8/24/2022
-112.02577,34.721746,"$305,000","1,405","951 S 3rd St, Cottonwood, AZ 86326",10/5/2022
-112.03406,34.717424,"$305,000","1,400","1210 S Pioneer Dr, Cottonwood, AZ 86326",9/2/2022
-112.851286,34.167234,"$305,000","2,222","26395 S Kristina Dr, Congress, AZ 85332",10/18/2022
-112.319736,34.61123,"$307,000","1,265","4723 N Arnold Dr, Prescott Valley, AZ 86314",10/21/2022
-112.385093,34.5596,"$307,000","1,072","4580 E Donna Dr, Prescott, AZ 86301",12/27/2022
-112.007326,34.731524,"$307,000","1,248","1705 E Cyprus St, Cottonwood, AZ 86326",1/3/2023
-112.123111,34.077899,"$307,000","2,108","20620 E Squaw Valley Rd, Black Canyon City, AZ 85324",9/30/2022
-111.863356,34.56178,"$309,000","1,236","515 S Highline Ln, Camp Verde, AZ 86322",9/22/2022
-112.241918,34.556227,"$309,600","1,902","12779 E Miranda St, Dewey, AZ 86327",12/19/2022
-112.358303,34.596539,"$310,000","1,404","6101 E Antelope Ln, Prescott Valley, AZ 86314",10/14/2022
-112.322717,34.6153,"$310,000","1,763","8115 E Tranquil Blvd, Prescott Valley, AZ 86314",1/18/2023
-112.33096,34.629447,"$310,000","1,292","6021 N Rim Dr, Prescott Valley, AZ 86314",8/24/2022
